excel_row,source_code,proquest_no_result_reason,description
43,2000-H651-13,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
46,2000-H651-3,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
52,2000-H701-31,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
133,2000-S381-33,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
135,2000-S401-15,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
177,2001-S181-26,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
178,2001-S181-30,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
282,2002-S311-36,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
376,2003-H701-21,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
442,2003-S381-17,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
450,2003-S521-54,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
827,2008-H701-1,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
888,2009-H751-5,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
1238,2012-H751-10,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
1250,2012-H751-63,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
1581,2015-H581-18,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
1720,2016-H601-12,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
1780,2016-S321-73,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
1822,2017-H381-16,4,"Other: no permalink was found, but the record is not unpublished, is not missing a title, and is not Joint Committee on Atomic Energy."
2181,70-S261-33,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2216,70-S641-13,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2305,71-S641-1,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2423,72-S441-56,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2531,73-S441-11,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2630,74-H701-10,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2638,74-H701-5,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2639,74-H701-8,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2640,74-H701-9,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2664,74-S261-24,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2674,74-S361-14,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2689,74-S401-37,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2697,74-S441-25,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2698,74-S441-26,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2713,74-S441-55,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2729,74-S641-14,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2730,74-S641-15,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2836,75-S201-21,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2841,75-S261-51,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2842,75-S261-56,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2857,75-S401-17,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2884,75-S441-77,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2897,75-S541-72,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2905,75-S641-44,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2906,75-S641-45,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
2997,76-H721-2,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3016,76-S161-5,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3021,76-S201-37,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3034,76-S261-24,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3036,76-S261-35,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3048,76-S381-32,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3050,76-S401-18,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3074,76-S441-58,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3075,76-S441-60,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3098,76-S541-84,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3132,77-H241-9,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3254,77-S261-19,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3255,77-S261-25,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3309,77-S441-33,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3311,77-S441-37,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3316,77-S521-22,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3361,78-H441-30,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3437,78-S261-15,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3459,78-S311-48,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3571,79-H441-27,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3573,79-H441-8,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3652,79-Hhlrr-t.1,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3653,79-Hhme-t.13,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3654,79-Hhpul-t.13,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3655,79-Hhpul-t.190,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3656,79-Hhpul-t.24,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
